departure_time,arrival_time,airfare,airline,duration,num_stops,departure_date,days_to_departure
5:15pm,7:00am,"$1,060",United,22h 25m,(1 stop),03/16/2019,1
6:30pm,9:05am,"$1,060",United,22h 45m,(1 stop),03/16/2019,1
2:05pm,7:00am,"$1,060",United,23h 35m,(1 stop),03/16/2019,1
12:00pm,7:50am,"$1,060",United,24h 30m,(1 stop),03/16/2019,1
7:59am,7:00am,"$1,060",United,25h 55m,(1 stop),03/16/2019,1
5:40pm,9:05am,"$1,064",United,30h 30m,(1 stop),03/16/2019,1
2:55pm,7:00am,"$1,064",United,32h 1m,(1 stop),03/16/2019,1
2:50pm,7:00am,"$1,064",United,24h 25m,(2 stops),03/16/2019,1
2:35pm,7:00am,"$1,064",United,25h 5m,(2 stops),03/16/2019,1
3:15pm,7:50am,"$1,064",United,25h 55m,(2 stops),03/16/2019,1
4:10pm,9:05am,"$1,064",United,25h 55m,(2 stops),03/16/2019,1
4:10pm,9:05am,"$1,064",United,26h 0m,(2 stops),03/16/2019,1
2:50pm,7:50am,"$1,064",United,27h 15m,(2 stops),03/16/2019,1
1:44pm,7:00am,"$1,064",United,27h 15m,(2 stops),03/16/2019,1
1:44pm,7:00am,"$1,064",United,28h 21m,(2 stops),03/16/2019,1
1:44pm,7:50am,"$1,064",Multiple Airlines,25h 40m,(1 stop),03/16/2019,1
1:44pm,7:50am,"$1,064",Multiple Airlines,31h 10m,(1 stop),03/16/2019,1
2:50pm,9:05am,"$1,064",United,32h 50m,(1 stop),03/16/2019,1
2:50pm,9:05am,"$1,064",United,34h 5m,(1 stop),03/16/2019,1
1:44pm,9:05am,"$1,064",American Airlines,26h 35m,(2 stops),03/16/2019,1
1:44pm,9:05am,"$1,064",American Airlines,30h 0m,(2 stops),03/16/2019,1
4:20pm,7:35am,"$1,083",American Airlines,34h 0m,(2 stops),03/16/2019,1
8:00am,6:10am,"$1,083",Virgin Australia,22h 30m,(1 stop),03/16/2019,1
8:00am,7:50am,"$1,118",American Airlines,30h 0m,(2 stops),03/16/2019,1
8:00am,9:05am,"$1,119",American Airlines,34h 0m,(2 stops),03/16/2019,1
3:10pm,8:45am,"$1,143",American Airlines,34h 0m,(2 stops),03/16/2019,1
1:00pm,7:55am,"$1,143",Multiple Airlines,22h 30m,(1 stop),03/16/2019,1
11:59am,7:10am,"$1,143",Etihad Airways,29h 40m,(1 stop),03/16/2019,1
12:53pm,8:45am,"$1,143",Etihad Airways,40h 45m,(1 stop),03/16/2019,1
11:59am,7:55am,"$1,143",Korean Air,27h 15m,(1 stop),03/16/2019,1
1:35am,10:00pm,$748,Philippine Airlines,29h 25m,(1 stop),03/17/2019,2
3:15pm,9:35am,$919,Cathay Pacific,27h 20m,(1 stop),03/17/2019,2
1:20am,8:50pm,$919,Cathay Pacific,28h 30m,(1 stop),03/17/2019,2
3:15pm,12:00pm,$919,Cathay Pacific,29h 45m,(1 stop),03/17/2019,2
1:20am,7:25am,$919,Cathay Pacific,39h 5m,(1 stop),03/17/2019,2
1:35am,10:05am,$750,Philippine Airlines,41h 30m,(1 stop),03/18/2019,3
1:20am,8:50pm,$907,Cathay Pacific,28h 30m,(1 stop),03/18/2019,3
1:20am,7:25am,$907,Cathay Pacific,39h 5m,(1 stop),03/18/2019,3
1:20am,9:35am,$907,Cathay Pacific,41h 15m,(1 stop),03/18/2019,3
1:20am,12:00pm,$907,Cathay Pacific,43h 40m,(1 stop),03/18/2019,3
7:00pm,10:05am,$880,Philippine Airlines,48h 5m,(2 stops),03/19/2019,4
4:25pm,1:35pm,$895,China Eastern Airlines,30h 10m,(1 stop),03/19/2019,4
7:00pm,12:15pm,$899,China Airlines,50h 15m,(2 stops),03/19/2019,4
1:20am,8:50pm,$904,Cathay Pacific,28h 30m,(1 stop),03/19/2019,4
1:20am,7:25am,$904,Cathay Pacific,39h 5m,(1 stop),03/19/2019,4
1:35am,10:05am,$748,Philippine Airlines,41h 30m,(1 stop),03/20/2019,5
7:00pm,12:15pm,$899,China Airlines,50h 15m,(2 stops),03/20/2019,5
3:15pm,9:35am,$904,Cathay Pacific,27h 20m,(1 stop),03/20/2019,5
1:20am,8:50pm,$904,Cathay Pacific,28h 30m,(1 stop),03/20/2019,5
3:15pm,12:00pm,$904,Cathay Pacific,29h 45m,(1 stop),03/20/2019,5
1:35am,10:05am,$800,Philippine Airlines,41h 30m,(1 stop),03/21/2019,6
1:20am,8:50pm,$907,Cathay Pacific,28h 30m,(1 stop),03/21/2019,6
1:20am,7:25am,$907,Cathay Pacific,39h 5m,(1 stop),03/21/2019,6
1:20am,9:35am,$907,Cathay Pacific,41h 15m,(1 stop),03/21/2019,6
1:20am,12:00pm,$907,Cathay Pacific,43h 40m,(1 stop),03/21/2019,6
4:25pm,1:35pm,$913,China Eastern Airlines,30h 10m,(1 stop),03/21/2019,6
10:55pm,6:40am,$936,Etihad Airways,40h 45m,(1 stop),03/21/2019,6
1:25pm,10:00am,$998,Multiple Airlines,29h 35m,(1 stop),03/21/2019,6
1:25pm,1:35pm,"$1,013",Multiple Airlines,33h 10m,(1 stop),03/21/2019,6
6:25pm,7:50am,"$1,032",United,22h 25m,(1 stop),03/21/2019,6
6:30pm,8:05am,"$1,032",United,22h 35m,(1 stop),03/21/2019,6
5:15pm,7:00am,"$1,032",United,22h 45m,(1 stop),03/21/2019,6
4:20pm,7:50am,"$1,032",United,24h 30m,(1 stop),03/21/2019,6
3:15pm,7:50am,"$1,037",United,25h 35m,(2 stops),03/21/2019,6
3:15pm,7:50am,"$1,037",United,25h 35m,(2 stops),03/21/2019,6
2:50pm,7:50am,"$1,037",United,26h 0m,(2 stops),03/21/2019,6
2:50pm,7:50am,"$1,037",United,26h 0m,(2 stops),03/21/2019,6
2:55pm,8:05am,"$1,037",United,26h 10m,(2 stops),03/21/2019,6
2:50pm,8:05am,"$1,037",United,26h 15m,(2 stops),03/21/2019,6
2:50pm,8:05am,"$1,037",United,26h 15m,(2 stops),03/21/2019,6
1:44pm,7:50am,"$1,037",United,27h 6m,(2 stops),03/21/2019,6
1:44pm,7:50am,"$1,037",United,27h 6m,(2 stops),03/21/2019,6
1:44pm,8:05am,"$1,037",United,27h 21m,(2 stops),03/21/2019,6
1:44pm,8:05am,"$1,037",United,27h 21m,(2 stops),03/21/2019,6
6:40am,6:05am,"$1,044",Multiple Airlines,32h 25m,(1 stop),03/21/2019,6
8:00am,7:50am,"$1,089",United,32h 50m,(1 stop),03/21/2019,6
8:00am,8:05am,"$1,090",United,33h 5m,(1 stop),03/21/2019,6
10:34am,7:10am,"$1,098",Delta,29h 36m,(2 stops),03/21/2019,6
9:55am,7:10am,"$1,098",Delta,30h 15m,(1 stop),03/21/2019,6
